onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.255	INSTR1	0	0	 0.000
 9.594	 3.347	ISI	0	0	 0.000
 12.941	 60.249	CONV1	0	0	 0.000
 73.190	 4.686	ISI	0	0	 0.000
 77.876	 8.364	INSTR1	0	0	 0.000
 86.240	 3.346	ISI	0	0	 0.000
 89.586	 60.248	CONV2	0	0	 0.000
 149.834	 4.686	ISI	0	0	 0.000
 154.520	 8.213	INSTR1	0	0	 0.000
 162.733	 3.347	ISI	0	0	 0.000
 166.080	 60.249	CONV1	0	0	 0.000
 226.329	 4.685	ISI	0	0	 0.000
 231.014	 8.270	INSTR1	0	0	 0.000
 239.284	 3.325	ISI	0	0	 0.000
 242.609	 60.248	CONV2	0	0	 0.000
 302.857	 4.685	ISI	0	0	 0.000
 307.542	 8.369	INSTR1	0	0	 0.000
 315.911	 60.248	CONV1	0	0	 0.000
 376.159	 4.536	ISI	0	0	 0.000
 380.695	 8.369	INSTR1	0	0	 0.000
 389.064	 3.347	ISI	0	0	 0.000
 392.411	 60.249	CONV2	0	0	 0.000
 452.660	 3.343	ISI	0	0	 0.000
