onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.581	ISI	0	0	 0.000
 1.581	 9.896	INSTR1	0	0	 0.000
 11.477	 3.944	ISI	0	0	 0.000
 15.421	 71.230	CONV1	0	0	 0.000
 86.651	 5.544	ISI	0	0	 0.000
 92.195	 9.883	INSTR1	0	0	 0.000
 102.078	 3.963	ISI	0	0	 0.000
 106.041	 71.236	CONV2	0	0	 0.000
 177.277	 5.543	ISI	0	0	 0.000
 182.820	 9.882	INSTR1	0	0	 0.000
 192.702	 3.963	ISI	0	0	 0.000
 196.665	 71.247	CONV1	0	0	 0.000
 267.912	 5.513	ISI	0	0	 0.000
 273.425	 9.890	INSTR1	0	0	 0.000
 283.315	 3.949	ISI	0	0	 0.000
 287.264	 71.246	CONV2	0	0	 0.000
 358.510	 5.525	ISI	0	0	 0.000
 364.035	 9.897	INSTR1	0	0	 0.000
 373.932	 71.252	CONV1	0	0	 0.000
 445.184	 5.545	ISI	0	0	 0.000
 450.729	 9.897	INSTR1	0	0	 0.000
 460.626	 3.963	ISI	0	0	 0.000
 464.589	 71.234	CONV2	0	0	 0.000
 535.823	 3.957	ISI	0	0	 0.000
