onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.333	INSTR1	0	0	 0.000
 9.672	 3.347	ISI	0	0	 0.000
 13.019	 60.248	CONV1	0	0	 0.000
 73.267	 4.686	ISI	0	0	 0.000
 77.953	 8.357	INSTR1	0	0	 0.000
 86.310	 3.345	ISI	0	0	 0.000
 89.655	 60.232	CONV2	0	0	 0.000
 149.887	 4.685	ISI	0	0	 0.000
 154.572	 8.368	INSTR1	0	0	 0.000
 162.940	 3.311	ISI	0	0	 0.000
 166.251	 60.229	CONV1	0	0	 0.000
 226.480	 4.674	ISI	0	0	 0.000
 231.154	 8.369	INSTR1	0	0	 0.000
 239.523	 3.313	ISI	0	0	 0.000
 242.836	 60.245	CONV2	0	0	 0.000
 303.081	 4.684	ISI	0	0	 0.000
 307.765	 8.367	INSTR1	0	0	 0.000
 316.132	 60.249	CONV1	0	0	 0.000
 376.381	 4.684	ISI	0	0	 0.000
 381.065	 8.327	INSTR1	0	0	 0.000
 389.392	 3.347	ISI	0	0	 0.000
 392.739	 60.249	CONV2	0	0	 0.000
 452.988	 3.346	ISI	0	0	 0.000
