onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.338	ISI	0	0	 0.000
 1.338	 8.342	INSTR1	0	0	 0.000
 9.680	 3.348	ISI	0	0	 0.000
 13.028	 60.248	CONV1	0	0	 0.000
 73.276	 4.685	ISI	0	0	 0.000
 77.961	 8.344	INSTR1	0	0	 0.000
 86.305	 3.347	ISI	0	0	 0.000
 89.652	 60.248	CONV2	0	0	 0.000
 149.900	 4.686	ISI	0	0	 0.000
 154.586	 8.367	INSTR1	0	0	 0.000
 162.953	 3.347	ISI	0	0	 0.000
 166.300	 60.249	CONV1	0	0	 0.000
 226.549	 4.686	ISI	0	0	 0.000
 231.235	 8.337	INSTR1	0	0	 0.000
 239.572	 3.346	ISI	0	0	 0.000
 242.918	 60.248	CONV2	0	0	 0.000
 303.166	 8.368	INSTR1	0	0	 0.000
 311.534	 60.248	CONV1	0	0	 0.000
 371.782	 4.686	ISI	0	0	 0.000
 376.468	 8.368	INSTR1	0	0	 0.000
 384.836	 3.347	ISI	0	0	 0.000
 388.183	 60.249	CONV2	0	0	 0.000
 448.432	 1.339	ISI	0	0	 0.000
