onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.581	ISI	0	0	 0.000
 1.581	 9.888	INSTR1	0	0	 0.000
 11.469	 3.943	ISI	0	0	 0.000
 15.412	 71.238	CONV1	0	0	 0.000
 86.650	 5.544	ISI	0	0	 0.000
 92.194	 9.895	INSTR1	0	0	 0.000
 102.089	 3.963	ISI	0	0	 0.000
 106.052	 71.242	CONV2	0	0	 0.000
 177.294	 5.539	ISI	0	0	 0.000
 182.833	 9.889	INSTR1	0	0	 0.000
 192.722	 3.958	ISI	0	0	 0.000
 196.680	 71.253	CONV1	0	0	 0.000
 267.933	 5.511	ISI	0	0	 0.000
 273.444	 9.897	INSTR1	0	0	 0.000
 283.341	 3.953	ISI	0	0	 0.000
 287.294	 71.243	CONV2	0	0	 0.000
 358.537	 9.887	INSTR1	0	0	 0.000
 368.424	 71.252	CONV1	0	0	 0.000
 439.676	 5.528	ISI	0	0	 0.000
 445.204	 9.897	INSTR1	0	0	 0.000
 455.101	 3.949	ISI	0	0	 0.000
 459.050	 71.252	CONV2	0	0	 0.000
 530.302	 1.583	ISI	0	0	 0.000
